Wavelength (nm),SPD1,SPD2,Difference in Number,Difference in Percentage (%),x1 (Chromaticity SPD1),y1 (Chromaticity SPD1),x2 (Chromaticity SPD2),y2 (Chromaticity SPD2)
471,-3.8991,-7.7982,-3.8991,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
472,-3.42785,-6.8557,-3.42785,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
473,-3.01565,-6.0313,-3.01565,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
474,-2.6666,-5.3332,-2.6666,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
475,-2.3741,-4.7482,-2.3741,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
476,-2.145,-4.29,-2.145,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
477,-1.963,-3.926,-1.963,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
478,-1.82995,-3.6599,-1.82995,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
479,-1.71525,-3.4305,-1.71525,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
480,-1.6059,-3.2118,-1.6059,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
481,-1.5017,-3.0034,-1.5017,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
482,-1.38655,-2.7731,-1.38655,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
483,-1.27995,-2.5599,-1.27995,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
484,-1.15595,-2.3119,-1.15595,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
485,-1.0327,-2.0654,-1.0327,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
486,-0.91615,-1.8323,-0.91615,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
487,-0.80205,-1.6041,-0.80205,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
488,-0.6978,-1.3956,-0.6978,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
489,-0.6034,-1.2068,-0.6034,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
490,-0.5132,-1.0264,-0.5132,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
491,-0.44305,-0.8861,-0.44305,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
492,-0.3748,-0.7496,-0.3748,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
493,-0.3267,-0.6534,-0.3267,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
494,-0.2766,-0.5532,-0.2766,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
495,-0.23915,-0.4783,-0.23915,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
496,-0.201,-0.402,-0.201,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
497,-0.1674,-0.3348,-0.1674,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
498,-0.13355,-0.2671,-0.13355,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
499,-0.10005,-0.2001,-0.10005,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
500,-0.0633,-0.1266,-0.0633,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
501,-0.031,-0.062,-0.031,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
502,0.0061,0.0122,0.0061,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
503,0.04625,0.0925,0.04625,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
504,0.08495,0.1699,0.08495,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
505,0.1255,0.251,0.1255,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
506,0.16325,0.3265,0.16325,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
507,0.2063,0.4126,0.2063,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
